"name","handedness","height","weight","avg","HR","avg_scaled","HR_scaled","distance","distance_pctrank"
"Juan Nieves","L",75,175,0,0,0,0,63.143985979505,79.9999999999998
"Mike Bacsik","R",74,180,0,0,0,0,54.3765727865091,72.2826086956525
"Craig Kusick","R",75,210,0.235,46,71.6463414634146,8.17051509769094,17.8090077525386,23.6413043478262
"Rudy Meoli","L",69,165,0.212,2,64.6341463414634,0.355239786856128,9.88507424227229,9.84126984126985
"Ruppert Jones","L",70,170,0.25,147,76.219512195122,26.1101243339254,21.2773704103022,57.7777777777776
"Glenn Hoffman","R",73,175,0.242,23,73.780487804878,4.08525754884547,20.2345834188583,31.5217391304348
"Russ Gibson","R",73,195,0.228,8,69.5121951219512,1.42095914742451,16.8269255628405,20.7880434782609
"Phil Huffman","R",74,180,0,0,0,0,54.3765727865091,72.2826086956525
"Terry Francona","L",73,190,0.274,16,83.5365853658537,2.84191829484902,22.3531974212549,60.6349206349205
"John Bateman","R",75,210,0.23,81,70.1219512195122,14.3872113676732,17.6459500391918,22.9619565217392
"Luis Pujols","R",74,175,0.193,6,58.8414634146341,1.06571936056838,8.19735321061916,2.98913043478261
"Joe Gaines","R",73,190,0.241,21,73.4756097560976,3.73001776198934,19.9994131426495,31.3858695652174
"Doug Rader","R",74,208,0.251,155,76.5243902439024,27.5310834813499,30.2130652283962,60.5978260869565
"Mickey Stanley","R",73,185,0.248,117,75.609756097561,20.7815275310835,25.4604362184348,50.6793478260867
"Steve Brown","R",77,200,0,0,0,0,54.3765727865091,72.2826086956525
"Rick Lysander","R",74,190,0,0,0,0,54.3765727865091,72.2826086956525
"Phil Bradley","R",72,185,0.286,78,87.1951219512195,13.854351687389,33.9351960663472,65.0815217391305
"Winston Llenas","R",70,165,0.23,3,70.1219512195122,0.532859680284192,17.7291993463431,23.3695652173914
"Charlie Moore","R",71,180,0.261,36,79.5731707317073,6.3943161634103,25.7522680396093,51.4945652173911
"Ralph Garr","L",71,185,0.306,75,93.2926829268293,13.3214920071048,31.1219095363545,72.0634920634919
"Tommy John","R",75,180,0.157,5,47.8658536585366,0.88809946714032,8.96547408384605,4.07608695652174
"Bruce Benedict","R",73,175,0.242,18,73.780487804878,3.19715808170515,20.4061300376941,32.7445652173913
"John Ellis","R",74,225,0.262,69,79.8780487804878,12.2557726465364,26.4494987791856,53.6684782608694
"Wes Parker","B",73,180,0.267,64,81.4024390243902,11.3676731793961,19.7170921265854,66.0194174757281
"Mel Stottlemyre","R",72,190,0,0,0,0,54.3765727865091,72.2826086956525
"David Green","R",75,170,0.268,31,81.7073170731707,5.50621669626998,27.9357950534006,56.2499999999999
"Reid Nichols","R",71,165,0.266,22,81.0975609756098,3.90763765541741,27.4944920123539,55.2989130434781
"Rick Reichardt","R",75,210,0.261,116,79.5731707317073,20.6039076376554,28.8406736603482,58.4239130434782
"Luis Tiant","R",72,180,0.164,5,50,0.88809946714032,7.70730320157532,2.03804347826087
"Alex Sanchez","R",74,185,0,0,0,0,54.3765727865091,72.2826086956525
"Broderick Perkins","L",70,180,0.271,8,82.6219512195122,1.42095914742451,22.0007747988944,59.6825396825395
"Leon Roberts","R",75,200,0.267,78,81.4024390243902,13.854351687389,28.2632146239021,57.2010869565216
"Ray Burris","R",77,200,0.151,1,46.0365853658537,0.177619893428064,10.7519575521859,5.16304347826087
"Len Gabrielson","L",76,210,0.253,37,77.1341463414634,6.57193605683837,15.1689527489567,29.5238095238095
"Johnny Edwards","L",76,220,0.242,81,73.780487804878,14.3872113676732,12.251844007419,16.5079365079365
"Paul Wilmet","R",71,170,0,0,0,0,54.3765727865091,72.2826086956525
"Tom Grieve","R",74,190,0.249,65,75.9146341463415,11.5452930728242,22.4229093449377,40.2173913043477
"Bruce Ellingsen","L",72,180,0,0,0,0,63.143985979505,79.9999999999998
"Bob Forsch","R",76,200,0.213,12,64.9390243902439,2.13143872113677,12.3514341531398,7.33695652173913
